Record_ID,Year,Season,Crop,State,Farm_Size_Category,Area_Hectares,Soil_Type,Soil_pH,Seed_Variety,Irrigation_Method,Rainfall_mm,Temperature_C,Humidity_pct,Fertilizer_kg_per_ha,Pesticide_kg_per_ha,Water_Usage_mm,Water_Efficiency,Labor_Hours_per_ha,Yield_tonnes_per_ha,Production_tonnes,Market_Price_per_ton,Storage_Loss_pct,Revenue_INR,Cost_INR,Profit_INR,Disease_Incidence_pct,Pest_Incidence_pct
51,2021,Zaid,Groundnut,West Bengal,Medium,5.58,Loamy,,High-Yield Variety,Drip,125.6,35.1,41.2,,2.17,204.9,1.936,353.0,3.968,22.14,1777.0,7.04,36572.15,230393.7,-193821.55,22.3,19.5
52,2023,Zaid,Barley,Jharkhand,Medium,2.16,Clay,7.0,Traditional,Canal,19.8,29.1,42.8,129.3,3.01,212.6,1.754,336.0,3.73,8.06,1571.7,3.46,12230.45,104602.68,-92372.23,35.3,27.1
53,2021,Kharif,Groundnut,Assam,Large,2.39,Clay,7.13,High-Yield Variety,Drip,790.3,26.0,82.8,165.6,3.02,278.4,1.603,284.0,4.462,10.66,1854.5,5.13,18754.57,123676.43,-104921.86,36.7,28.3
54,2024,Kharif,Soybean,Punjab,Medium,5.2,Loamy,7.1,Traditional,Borewell,674.7,28.1,78.7,151.0,4.41,491.3,0.762,285.0,3.746,19.48,1702.3,4.6,31635.64,247601.22,-215965.58,48.3,51.2
55,2024,Rabi,Maize,Chhattisgarh,Large,1.9,Black,6.42,High-Yield Variety,Drip,102.6,21.1,60.0,131.1,3.82,179.4,3.427,274.0,6.147,11.68,1863.4,3.53,20997.73,89376.13,-68378.4,16.9,11.1
56,2024,Kharif,Groundnut,Odisha,Large,2.66,Alluvial,6.59,High-Yield Variety,Rainfed,759.7,27.9,79.5,112.5,4.22,297.4,1.105,341.0,3.285,8.74,,8.59,15944.57,137337.07,-121392.5,38.6,33.3
57,2023,Rabi,Maize,Jharkhand,Medium,3.72,Black,7.4,Traditional,Borewell,219.9,16.8,60.0,81.4,3.47,396.4,1.402,295.0,5.555,20.67,2273.4,5.63,44344.31,160535.59,-116191.28,10.1,10.7
58,2021,Kharif,Sugarcane,Odisha,Small,4.0,Loamy,6.14,Traditional,Drip,729.0,28.2,75.7,123.8,6.15,322.0,12.359,222.0,39.797,159.19,1976.8,5.89,296161.07,196753.21,99407.86,45.5,31.4
59,2022,Kharif,Groundnut,Bihar,Large,3.22,Loamy,6.98,High-Yield Variety,Sprinkler,774.9,27.2,84.9,127.1,3.69,454.1,0.899,400.0,4.082,13.14,1961.6,1.77,25319.75,161544.91,-136225.16,43.5,34.8
60,2024,Zaid,Wheat,Assam,Large,1.97,Black,6.58,Traditional,Canal,90.6,33.4,35.1,133.9,3.7,339.2,1.186,477.0,4.024,7.93,1716.9,2.88,13223.0,95078.29,-81855.29,22.5,21.8
61,2024,Zaid,Mustard,Uttar Pradesh,Small,3.38,Alluvial,6.95,High-Yield Variety,Rainfed,143.4,34.9,53.3,160.0,1.56,150.5,1.041,346.0,1.567,5.3,1607.7,5.38,8062.18,141497.98,-133435.8,25.8,25.1
62,2024,Kharif,Mustard,West Bengal,Medium,3.98,Alluvial,6.83,Traditional,Rainfed,778.7,29.8,75.4,133.8,3.32,288.3,0.934,248.0,2.694,10.72,1830.9,3.76,18889.72,195975.89,-177086.17,37.9,33.1
63,2024,Kharif,Sugarcane,Chhattisgarh,Large,1.4,Sandy,6.25,High-Yield Variety,Rainfed,809.2,26.6,73.6,166.5,3.21,311.9,8.749,330.0,27.286,38.2,1878.2,11.03,63835.13,70685.55,-6850.42,43.9,45.3
64,2024,Rabi,Soybean,Odisha,Medium,5.1,Black,6.82,Traditional,Borewell,194.0,21.2,49.6,125.9,5.06,304.1,1.208,487.0,3.673,18.73,1772.6,8.31,30441.51,225596.23,-195154.72,17.4,16.4
65,2021,Kharif,Sugarcane,West Bengal,Small,3.77,Loamy,7.08,High-Yield Variety,Borewell,799.3,27.8,84.7,59.5,4.49,527.6,6.509,283.0,34.34,129.46,1958.3,9.75,228790.2,187884.9,40905.3,40.4,29.4
66,2023,Zaid,Mustard,Bihar,Large,1.42,Loamy,5.99,High-Yield Variety,Rainfed,5.0,30.6,43.7,89.2,1.24,79.9,2.111,245.0,1.686,2.39,1705.7,4.15,3907.54,57342.66,-53435.12,47.1,39.2
67,2021,Rabi,Wheat,Odisha,Medium,4.37,Loamy,5.97,Traditional,Rainfed,253.0,18.4,55.3,80.5,2.42,162.4,2.295,222.0,3.727,16.29,2093.1,3.54,32888.82,186447.13,-153558.31,18.8,19.0
68,2022,Kharif,Barley,West Bengal,Medium,1.18,Sandy,7.73,High-Yield Variety,Borewell,741.3,32.6,75.5,101.0,4.32,544.8,0.928,363.0,5.058,5.97,1792.8,6.29,10029.91,67940.96,-57911.05,28.1,22.8
69,2024,Kharif,Mustard,Assam,Large,2.5,Black,6.86,Traditional,Canal,812.6,27.1,74.2,140.7,3.7,542.1,0.542,373.0,2.94,7.35,1964.7,2.88,14024.01,127166.88,-113142.87,54.8,38.5
70,2024,Rabi,Groundnut,Chhattisgarh,Small,3.72,Alluvial,6.87,High-Yield Variety,Rainfed,,22.9,55.1,157.5,2.12,174.6,1.817,296.0,3.173,11.8,2271.1,5.36,25362.28,171683.8,-146321.52,28.6,22.0
71,2021,Zaid,Soybean,Chhattisgarh,Medium,3.0,Clay,6.24,High-Yield Variety,Rainfed,52.3,35.3,37.5,131.0,2.32,149.7,1.572,435.0,2.352,7.06,1509.2,7.91,9811.98,128281.53,-118469.55,31.1,19.0
72,2023,Rabi,Groundnut,Punjab,Small,3.47,Black,7.14,High-Yield Variety,Canal,189.5,23.5,60.8,99.2,5.58,322.8,1.146,310.0,3.7,12.84,2159.5,9.03,25223.07,156344.27,-131121.2,29.3,20.7
73,2023,Kharif,Sugarcane,Assam,Large,2.27,Black,6.53,High-Yield Variety,Canal,772.4,24.6,76.6,176.0,3.22,529.7,6.828,279.0,36.173,82.11,1816.4,8.36,136671.67,119123.57,17548.1,31.2,31.0
74,2022,Rabi,Maize,Jharkhand,Small,1.15,Loamy,6.22,High-Yield Variety,Borewell,125.6,22.1,56.1,119.0,1.53,293.9,1.858,313.0,5.461,6.28,1989.0,8.69,11406.18,56306.7,-44900.52,12.4,9.1
75,2021,Zaid,Wheat,Odisha,Small,2.17,Sandy,6.31,High-Yield Variety,Borewell,18.3,33.5,45.5,,3.38,218.5,1.785,327.0,3.9,8.46,1930.4,10.97,14540.78,92077.77,-77536.99,12.8,11.5
76,2022,Rabi,Groundnut,Jharkhand,Small,6.88,Alluvial,6.73,High-Yield Variety,Rainfed,218.7,21.4,57.1,192.0,4.03,156.3,1.906,412.0,2.979,20.5,2292.4,9.98,42303.31,297277.75,-254974.44,21.2,17.7
77,2023,Rabi,Groundnut,Assam,Small,1.66,Black,7.49,High-Yield Variety,Rainfed,47.9,21.8,47.8,111.0,3.15,141.6,2.63,183.0,3.722,6.18,1967.0,8.88,11076.41,77549.69,-66473.28,29.1,28.5
78,2022,Rabi,Barley,West Bengal,Medium,5.22,Clay,6.86,Traditional,Canal,326.5,20.8,58.3,119.9,3.11,398.8,0.965,298.0,3.847,20.08,1952.4,9.18,35605.94,221908.82,-186302.88,27.4,19.2
79,2021,Zaid,Wheat,Odisha,Large,3.54,Sandy,6.81,High-Yield Variety,Rainfed,,35.2,46.4,89.9,2.7,180.5,1.72,303.0,3.105,10.99,1713.5,9.09,17120.36,148860.2,-131739.84,30.5,24.5
80,2022,Zaid,Groundnut,Odisha,Small,2.98,Sandy,6.41,High-Yield Variety,Canal,141.2,35.3,48.3,156.1,2.13,286.5,0.945,263.0,2.708,8.07,1649.0,8.78,12139.71,126112.85,-113973.14,28.4,22.0
81,2023,Kharif,Mustard,Uttar Pradesh,Small,1.05,Loamy,7.22,High-Yield Variety,Canal,885.7,28.3,73.6,88.2,1.29,548.7,0.662,304.0,3.632,3.81,1875.3,5.79,6731.64,58213.8,-51482.16,25.4,27.6
82,2024,Kharif,Mustard,Chhattisgarh,Medium,2.32,Clay,6.42,Traditional,Borewell,673.2,27.8,83.9,146.9,4.33,561.0,0.553,272.0,3.103,7.2,1700.5,10.2,10995.19,117220.77,-106225.58,33.6,24.2
83,2023,Rabi,Mustard,Jharkhand,Medium,0.94,Clay,5.46,High-Yield Variety,Rainfed,146.9,21.9,63.4,132.6,3.05,160.2,1.485,312.0,2.379,2.24,2175.0,4.38,4658.76,51724.77,-47066.01,21.0,13.9
84,2022,Kharif,Wheat,Bihar,Small,3.87,Alluvial,5.9,High-Yield Variety,Sprinkler,713.9,29.7,73.6,173.8,3.17,413.2,1.242,208.0,,19.86,1814.6,9.18,32730.45,184999.55,-152269.1,49.7,31.8
85,2024,Rabi,Barley,Chhattisgarh,Small,2.09,Clay,6.5,High-Yield Variety,Canal,81.0,20.9,58.8,92.4,1.94,334.1,1.113,347.0,3.719,7.77,1842.3,8.56,13088.59,93216.4,-80127.81,17.7,10.8
86,2024,Rabi,Barley,Punjab,Large,2.81,Clay,7.03,High-Yield Variety,Rainfed,183.9,19.8,58.1,158.0,3.71,128.3,2.68,343.0,3.438,9.66,2088.0,4.67,19228.03,128279.99,-109051.96,18.9,20.2
87,2024,Zaid,Wheat,Assam,Small,3.33,Clay,6.51,High-Yield Variety,Canal,34.3,32.0,42.7,130.1,3.66,211.8,1.719,399.0,3.641,12.12,1649.3,9.29,18132.52,141671.09,-123538.57,37.1,38.8
88,2022,Zaid,Maize,Punjab,Small,1.21,Sandy,6.77,Traditional,Rainfed,95.3,33.9,36.6,150.6,0.54,158.3,2.089,289.0,3.306,4.0,1591.1,10.54,5693.76,57508.23,-51814.47,37.8,36.9
89,2024,Kharif,Sugarcane,Assam,Small,2.05,Sandy,7.28,High-Yield Variety,Borewell,,30.1,76.1,171.1,3.43,534.3,6.378,344.0,34.075,69.85,1931.9,8.64,123285.5,110242.04,13043.46,41.4,42.5
90,2022,Kharif,Wheat,Assam,Medium,2.04,Alluvial,7.2,Traditional,Canal,777.2,28.5,93.2,147.0,5.32,522.5,0.938,337.0,4.899,9.99,2001.5,4.2,19154.99,103830.71,-84675.72,47.0,31.6
91,2024,Rabi,Mustard,Uttar Pradesh,Medium,1.15,Loamy,6.49,Traditional,Sprinkler,212.2,19.9,62.1,150.5,2.83,238.4,1.389,211.0,3.312,3.81,2114.4,5.37,7623.75,50171.45,-42547.7,31.3,21.9
92,2021,Kharif,Maize,Odisha,Small,5.97,Sandy,6.72,High-Yield Variety,Sprinkler,743.3,24.0,68.8,141.0,5.05,401.8,1.847,222.0,7.42,44.3,1949.0,9.43,78200.02,288185.91,-209985.89,34.4,22.3
93,2021,Rabi,Wheat,Bihar,Medium,1.79,Black,6.21,Traditional,Rainfed,197.7,20.9,53.5,163.4,4.12,159.6,2.627,338.0,4.193,7.51,1953.8,7.11,13629.38,93896.23,-80266.85,29.4,19.4
94,2024,Kharif,Sugarcane,Chhattisgarh,Small,4.46,Sandy,5.88,High-Yield Variety,Rainfed,814.5,29.6,80.0,186.4,4.31,281.3,9.859,301.0,27.732,123.68,1920.4,8.06,218377.57,216348.23,2029.34,26.7,26.6
95,2023,Rabi,Rice,Jharkhand,Small,4.09,Clay,6.47,High-Yield Variety,Rainfed,211.6,21.7,55.3,164.0,2.98,186.9,1.913,290.0,3.575,14.62,2272.5,4.31,31791.68,181276.58,-149484.9,11.5,7.4
96,2023,Rabi,Soybean,Assam,Small,1.32,Sandy,6.95,High-Yield Variety,Sprinkler,90.2,19.1,54.6,117.7,5.35,267.9,1.736,235.0,4.651,6.14,1967.3,8.58,11042.52,65660.78,-54618.26,19.5,12.3
97,2024,Rabi,Soybean,Jharkhand,Medium,1.88,Clay,6.89,High-Yield Variety,Canal,271.7,19.6,47.5,108.3,2.21,325.0,1.176,216.0,3.821,7.18,,8.61,14079.61,76476.03,-62396.42,12.9,7.8
98,2023,Kharif,Mustard,Uttar Pradesh,Small,1.76,Alluvial,6.82,High-Yield Variety,Rainfed,871.7,27.5,74.6,190.6,3.05,259.6,1.076,297.0,2.794,4.92,1904.7,10.0,8434.27,90860.6,-82426.33,28.7,21.8
99,2023,Rabi,Groundnut,West Bengal,Large,1.23,Sandy,6.59,Traditional,Borewell,244.9,19.7,65.8,120.5,3.14,329.6,1.154,378.0,3.805,4.68,2111.1,4.89,9396.8,61510.47,-52113.67,19.7,15.7
100,2024,Kharif,Mustard,Bihar,Large,0.87,Sandy,6.41,High-Yield Variety,Borewell,867.6,26.8,86.2,126.2,4.13,608.1,0.525,340.0,3.195,2.78,1818.2,9.13,4592.86,49430.08,-44837.22,41.9,37.6
101,2021,Rabi,Sugarcane,Odisha,Small,0.85,Loamy,6.79,High-Yield Variety,Canal,186.5,19.8,68.9,125.1,4.23,258.7,12.304,315.0,31.828,27.05,1973.6,6.21,50073.36,49140.3,933.06,17.3,17.7
102,2022,Rabi,Wheat,Bihar,Medium,0.69,Clay,5.98,Traditional,Sprinkler,208.6,21.9,64.3,164.4,0.93,291.6,1.484,196.0,4.327,2.99,1823.3,6.58,5093.08,42691.73,-37598.65,37.5,29.2
103,2021,Kharif,Soybean,Bihar,Small,1.74,Alluvial,7.82,Traditional,Canal,731.9,31.1,72.4,98.8,5.34,426.2,1.153,307.0,4.914,8.55,1926.0,10.68,14708.42,99729.82,-85021.4,34.0,32.1
104,2024,Kharif,Sugarcane,Bihar,Small,2.78,Sandy,6.38,High-Yield Variety,Canal,683.7,25.6,82.0,110.4,5.15,524.5,6.839,329.0,35.874,99.73,2146.3,7.7,197560.49,140916.61,56643.88,38.1,30.8
105,2021,Rabi,Maize,Uttar Pradesh,Small,5.25,Sandy,7.06,High-Yield Variety,Canal,138.4,17.3,57.9,161.7,1.64,330.0,1.898,265.0,6.262,32.87,1802.5,7.19,54988.6,223071.66,-168083.06,21.9,14.6
106,2024,Kharif,Maize,Jharkhand,Small,3.21,Sandy,6.8,Traditional,Drip,807.5,24.1,71.3,110.5,3.82,371.3,2.085,297.0,7.742,24.85,1891.7,8.87,42839.92,156725.09,-113885.17,44.7,32.4
107,2021,Kharif,Groundnut,West Bengal,Medium,2.12,Alluvial,7.22,Traditional,Rainfed,716.7,29.6,70.8,111.9,4.12,254.2,1.448,339.0,3.682,7.81,1698.7,5.14,12584.8,110206.34,-97621.54,49.6,51.8
108,2023,Kharif,Barley,Punjab,Medium,1.35,Clay,6.87,High-Yield Variety,Borewell,721.6,27.7,86.1,157.9,3.33,572.6,0.895,284.0,5.125,6.92,1684.5,5.11,11061.59,69811.62,-58750.03,33.5,25.0
109,2022,Kharif,Maize,Assam,Medium,2.71,Clay,,High-Yield Variety,Rainfed,791.5,28.5,73.2,111.2,3.37,293.1,1.858,359.0,5.446,14.76,2083.3,7.0,28596.02,136006.98,-107410.96,32.5,33.5
110,2023,Rabi,Groundnut,Punjab,Small,1.45,Sandy,6.38,High-Yield Variety,Canal,234.5,19.0,42.1,121.0,1.69,301.7,1.191,283.0,3.593,5.21,2067.9,7.44,9972.52,64779.66,-54807.14,23.6,22.3
